"GeneID","GeneName","Mean_Exp","Mean_Ctrl","Log2FC","T_statistic","P_value","D_value","Significant"
"3404","3404",1001.125,357,1.48503098163204,3.62529029235644,0.0158002689941306,2.54501395852978,"Positive Hit"
"C0317","C0317",2058.625,1003.5,1.03590412290584,3.83224188663331,0.0227795925087918,3.06920610471931,"Positive Hit"
"C0357","C0357",216.5,85.6666666666667,1.32746627842879,3.17419894631597,0.0417450023142514,2.52262956460725,"Positive Hit"
"C0681","C0681",272.375,94.1666666666667,1.52235307040641,3.00735115327125,0.0299540528737616,2.1271075787644,"Positive Hit"
"C1754","C1754",354.375,97.6666666666667,1.84870751876973,3.97212404366958,0.0132091871274323,2.69923681812087,"Positive Hit"
"C1756","C1756",371.375,108.666666666667,1.76363113523544,3.20054843674353,0.0246135895228207,2.24362940924779,"Positive Hit"
"C2356","C2356",338.375,82,2.0316970513448,2.94239315815629,0.0349908922683832,2.02539251631774,"Positive Hit"
"C2359","C2359",183.625,56.8333333333333,1.67462475890768,3.1172241667094,0.0351661519569288,2.06417312027532,"Positive Hit"
"C3436","C3436",305,110.166666666667,1.46080739222922,2.96773641363069,0.0316692018103113,2.15324223144555,"Positive Hit"
"C3440","C3440",939.875,378.333333333333,1.3105369145449,2.86441354958121,0.0372854517541903,2.13397419184581,"Positive Hit"
"C3474","C3474",239.375,34.6666666666667,2.75263856165991,3.7331177781508,0.0148958109613834,2.57008843223712,"Positive Hit"
"C3564","C3564",841.25,195.666666666667,2.09849606959371,6.18977907946587,0.00164659168876392,4.49444125261095,"Positive Hit"
"C3698","C3698",213.4375,66.0833333333333,1.67653093827683,4.91524738636424,0.00551177946942677,3.62672657871137,"Positive Hit"
"C3927","C3927",403.875,122,1.71881824745595,3.11333941723197,0.0268990526927934,2.19203583821533,"Positive Hit"
"C3972","C3972",513.75,143.666666666667,1.83113938290893,3.13345412970439,0.0271822969043554,2.18422645237082,"Positive Hit"
"C3973","C3973",411.625,157.5,1.38034839308313,3.83947975820375,0.0121573397788189,2.72686976226839,"Positive Hit"
"C3974","C3974",456.25,132.5,1.77614342806116,5.16420105498397,0.00476766949588478,3.88133255876377,"Positive Hit"
"C4367","C4367",667.75,210,1.66422398746869,3.80861226168937,0.0153110786556139,2.60200780534466,"Positive Hit"
"C4466","C4466",465.375,109.25,2.08071179925926,4.20380737922486,0.0108832883124049,2.85953643584116,"Positive Hit"
"C4585","C4585",285.125,72.6666666666667,1.95756168888541,2.98148544194373,0.0366419143460239,2.01495463384087,"Positive Hit"
"C4622","C4622",403.75,92.8333333333333,2.10885865894349,3.7599139964779,0.0156130902439957,2.57086240346467,"Positive Hit"
"C4623","C4623",213.625,95.1666666666667,1.15820931607781,3.26329011673067,0.0418620066633612,2.09074175640115,"Positive Hit"
"C4674","C4674",456.375,126.75,1.84005421940147,3.23191131343455,0.0231853683697595,2.30573500059125,"Positive Hit"
"C4857","C4857",747.125,257.333333333333,1.53404553239042,3.11378929595274,0.0290083382172811,2.33398849278686,"Positive Hit"
"C5059","C5059",166,60.5,1.44118978713481,6.45599142237257,0.0191961510604222,5.48725967541479,"Positive Hit"
"Cy3 200x","Cy3 200x",125.125,41,1.5863930363276,4.50032169086611,0.0115445113510697,2.90670752434914,"Positive Hit"
"H3 0.04mg","H3 0.04mg",159.625,40.8333333333333,1.94097159085162,3.07128364325124,0.0282892939702251,2.13695935355549,"Positive Hit"
"Streptavidin 1mg","Streptavidin 1mg",189.375,60.1666666666667,1.63802647436524,3.37039534237112,0.0199686893922799,2.40684538500453,"Positive Hit"
"YP022Z3","YP022Z3",231.875,78.1666666666667,1.55659075644448,3.77802987216551,0.0178906911373921,2.87616721879225,"Positive Hit"
"YPO2277","YPO2277",319.375,118.5,1.42275095531083,3.9362237400463,0.0138668396044637,2.96380615901357,"Positive Hit"
"YPO2280.1","YPO2280.1",917.5,283,1.69338879160667,3.62536409738799,0.0223826527136729,2.83254675700576,"Positive Hit"
"a- hum 16x","a- hum 16x",171,42.5,1.98332125885337,4.11793410073827,0.00978759591057137,2.98325582439306,"Positive Hit"
"ace15","ace15",844.375,325.666666666667,1.3717722001415,2.76241051901909,0.0523564080063738,2.17097723631053,"Positive Hit"
"ace20.21","ace20.21",849.625,265.833333333333,1.67258435459626,3.31257187413887,0.0224650796305535,2.3113307403309,"Positive Hit"
"ace26","ace26",2173.75,654.5,1.73018187885449,3.17078885432383,0.024799285608088,2.28962735259591,"Positive Hit"
"aceE","aceE",690.25,134.333333333333,2.35269034865805,3.22353784342228,0.0456197380841278,2.08421234675946,"Positive Hit"
"acrB","acrB",155.25,62.6666666666667,1.29524605223486,3.32148279738572,0.0214685265837798,2.29417349789194,"Positive Hit"
"agaB","agaB",440.875,62.6666666666667,2.79502817238217,3.47760293462163,0.0367792130087327,2.24724390110087,"Positive Hit"
"ais","ais",211.125,66.6666666666667,1.64839743307864,2.85778330528133,0.0356276804463221,2.05089256080798,"Positive Hit"
"allA","allA",119.875,32,1.87297796011839,3.54678265890174,0.0206585747610058,2.35690142582418,"Positive Hit"
"allB","allB",202,65.3333333333333,1.61367379736268,4.70557725180422,0.016948057190522,2.98268519447615,"Positive Hit"
"amiC","amiC",160.625,53.1666666666667,1.57717315261559,3.23625141222629,0.0239497322653862,2.34452089227494,"Positive Hit"
"aufA","aufA",525.125,154.166666666667,1.76158693750342,3.41890400796081,0.018880176358097,2.46070774185093,"Positive Hit"
"aufE","aufE",642.75,263.166666666667,1.28505209265233,3.14609412852889,0.0256394160730674,2.27976185443033,"Positive Hit"
"aufF","aufF",284.75,101.833333333333,1.47444550978622,4.11173434534585,0.00935889142380162,2.95367459358781,"Positive Hit"
"bfd","bfd",236.75,98.5,1.25667691031691,2.98497670870929,0.0324277960179524,2.05511928335853,"Positive Hit"
"bolA","bolA",114.875,30.8333333333333,1.86395920131094,3.45591091179694,0.0284155157011466,2.24011232478758,"Positive Hit"
"borD","borD",106.75,44.5,1.2437494188904,4.50892654907865,0.00677644193275192,3.16998318574931,"Positive Hit"
"btuB","btuB",38.75,5.66666666666667,2.57591736111815,3.45944048416723,0.0217973769638641,2.44783872582015,"Positive Hit"
"c1165","c1165",2290.125,932.666666666667,1.29507668915978,3.89139089836686,0.011525518931543,2.79092285334436,"Positive Hit"
"c1166","c1166",442.625,144.833333333333,1.60502015306241,4.86976596809931,0.00648743107061169,3.68847884615592,"Positive Hit"
"c1170","c1170",1253.5,317.5,1.97774719315287,3.3865120027574,0.0232448660012405,2.31882290643943,"Positive Hit"
"c1285","c1285",456,40.5,3.46101092371114,3.98509590107747,0.0247087149067257,2.58009439111022,"Positive Hit"
"c3615","c3615",195.75,41.5,2.21082888936978,3.26989445544494,0.0397305459688802,2.11246113984817,"Positive Hit"
"c43038","c43038",366.5,104.333333333333,1.80278219226778,3.80028748267236,0.0160283085259488,2.88040144168459,"Positive Hit"
"c4558","c4558",238.875,46.5,2.33628338786443,4.20178773418456,0.00854485055557373,3.01336585366351,"Positive Hit"
"caiT","caiT",347,137,1.33441903907056,3.15323372269888,0.0341480766101349,2.09992576152588,"Positive Hit"
"ccmA","ccmA",164.375,62.1666666666667,1.38850580882874,3.26187291315727,0.0270640124882041,2.1828031475782,"Positive Hit"
"ccmK1","ccmK1",431.375,150.833333333333,1.50979455529203,4.5150626264215,0.00653318174275649,3.16407980036331,"Positive Hit"
"ccmK3","ccmK3",884.75,332.333333333333,1.40993396617738,4.85570927208544,0.00851743761856587,3.79028071643608,"Positive Hit"
"cdlD","cdlD",1049.75,441.166666666667,1.24875728164443,2.80272271640833,0.0519361188357741,2.21749358699835,"Positive Hit"
"cglD","cglD",370.875,92.1666666666667,1.99693198096063,3.25949540373645,0.0349128466759288,2.14698053636782,"Positive Hit"
"chbB","chbB",2752.875,1132,1.28131521502729,3.68142019309599,0.0355454578951948,3.0709708096818,"Positive Hit"
"chbC","chbC",113.125,37.3333333333333,1.573943499761,3.70837790679964,0.0287292434298242,2.34953673139212,"Positive Hit"
"chuA","chuA",139.375,16.3333333333333,3.01766499498067,3.61379346140313,0.0262005067420853,2.34934018568513,"Positive Hit"
"clpP","clpP",138.25,45,1.59797156128302,3.32572069741976,0.0423056967793053,2.10878446147163,"Positive Hit"
"cmtB","cmtB",483.75,215.166666666667,1.16509682457625,3.33400493028018,0.0329741922640737,2.19317774354262,"Positive Hit"
"cobW","cobW",293.5,102.833333333333,1.50399797152762,3.09724145915673,0.0271010899303888,2.23229423453723,"Positive Hit"
"cpxP","cpxP",392,90.6666666666667,2.10006019456774,3.29809240879285,0.025047648630708,2.25205464019447,"Positive Hit"
"cueO","cueO",322.875,117.666666666667,1.44852236993485,4.20172749692179,0.00854969607557951,3.01715020516651,"Positive Hit"
"cysK","cysK",664.125,313.833333333333,1.07903720251574,3.65887636806337,0.0181984660419904,2.77938937910529,"Positive Hit"
"dcm2","dcm2",339.75,100.666666666667,1.74486691507612,3.15495966243351,0.0274225895781992,2.34588110503876,"Positive Hit"
"dedD","dedD",610.75,199.833333333333,1.60694345568322,3.58383396164885,0.0354631990269242,2.30882168574586,"Positive Hit"
"deoR","deoR",147,39.6666666666667,1.86367852878722,3.69623877495512,0.03015021525897,2.35659929416501,"Positive Hit"
"dfp","dfp",429.875,153.166666666667,1.48277852868475,3.61953796990695,0.0248120235659404,2.84715426687812,"Positive Hit"
"dgoD","dgoD",310.75,86.8333333333333,1.82754909891361,3.02888499353549,0.0380846423025784,2.02228509513154,"Positive Hit"
"dnaC","dnaC",62.375,6.16666666666667,3.1445396830224,4.61248474147857,0.0140682232343029,2.87642220862566,"Positive Hit"
"dppF","dppF",152.75,53.1666666666667,1.50510919303194,3.10044669060167,0.0269081359952695,2.20287156537125,"Positive Hit"
"dsdX","dsdX",331.75,135,1.29083201466155,5.63036477034036,0.00295450249567085,4.1370045307937,"Positive Hit"
"ecpD","ecpD",238.375,85.1666666666667,1.47407070721854,3.7615290633807,0.0253641504350528,2.4361635620317,"Positive Hit"
"elaD","elaD",274.125,75,1.85601591644797,3.91375290310465,0.0209063660750021,3.08710095517247,"Positive Hit"
"fabF","fabF",261.375,89,1.54363335496248,5.60644770109389,0.00971212370315209,3.56802269413783,"Positive Hit"
"fadR","fadR",83.625,20.8333333333333,1.9545515227587,4.82119677942705,0.00722744749362588,3.11520949782213,"Positive Hit"
"fdnI","fdnI",89.125,14.6666666666667,2.52422909828434,3.24280969355042,0.0362882235273286,2.08720070976973,"Positive Hit"
"fepE","fepE",107.125,49.3333333333333,1.10311408392016,2.95961741286041,0.0829187252050075,2.50140975662787,"Positive Hit"
"fepG","fepG",77.75,27.8333333333333,1.44954229147171,3.47956021571014,0.0379848934819339,2.15820487481142,"Positive Hit"
"ffh","ffh",196.25,65.5,1.56859905451227,5.01857144611388,0.0100642210479788,3.9175860009953,"Positive Hit"
"fic","fic",60.375,5.66666666666667,3.20261362014849,3.28561253866339,0.0451861274709803,2.0456044764952,"Positive Hit"
"fimH","fimH",384.875,110,1.79757390126502,3.21555038277172,0.0274162125340593,2.19270420255081,"Positive Hit"
"fixX","fixX",262.125,69.6666666666667,1.89664656411172,3.00203476912688,0.0338243884228622,2.04723344653967,"Positive Hit"
"flk","flk",291.125,76.6666666666667,1.9112183748497,3.51101452406563,0.0339112331298248,2.26860188714994,"Positive Hit"
"fruR","fruR",434.125,163.833333333333,1.40042188868573,4.75101440913343,0.0133573908306384,3.08012384295357,"Positive Hit"
"fucU","fucU",223.25,60.6666666666667,1.86254521512411,3.26790584297937,0.0375918771513309,2.12386932906451,"Positive Hit"
"fxsA","fxsA",159.25,42.5,1.88123705077001,3.57022927069607,0.0212511526985963,2.37421427032029,"Positive Hit"
"gatR","gatR",105.4375,36.6666666666667,1.49864625798451,5.64795259778084,0.0031808455685924,4.02711901743431,"Positive Hit"
"gcvR","gcvR",116.9375,24.5833333333333,2.20474636295142,3.85167776231288,0.0215128922697269,2.48492099464101,"Positive Hit"
"glcC","glcC",48.125,8.33333333333333,2.39599308092216,2.74641949530001,0.0551210634818391,2.069137492336,"Positive Hit"
"glgA","glgA",167.5,49.6666666666667,1.73363976845943,3.82153787810065,0.0256042955948338,2.45234413949808,"Positive Hit"
"gltI","gltI",85.375,21,1.97311028175096,4.00187897417624,0.0132533289919419,2.62735138155417,"Positive Hit"
"gltX","gltX",291.875,78.1666666666667,1.88732003636598,3.18567188574952,0.0441840097691594,2.0594039345262,"Positive Hit"
